iter	Logloss
0	0.6738095767
1	0.6364768465
2	0.5960242543
3	0.569585367
4	0.5481057742
5	0.5267225213
6	0.506252178
7	0.4895277187
8	0.4720160104
9	0.4544129737
10	0.433276068
11	0.4181896475
12	0.4025107894
13	0.3891387018
14	0.3750202048
15	0.3611201928
16	0.3502225727
17	0.3399455515
18	0.3311773557
19	0.3196129488
20	0.3116104975
21	0.2974374354
22	0.2864163611
23	0.2778498955
24	0.2704088406
25	0.2658199832
26	0.2598339178
27	0.2554623672
28	0.2489193372
29	0.2461278944
30	0.2424488051
31	0.2376183501
32	0.2329377155
33	0.2261709459
34	0.2197490138
35	0.215264724
36	0.2093945206
37	0.204533679
38	0.2011296967
39	0.1958555399
40	0.1904078892
41	0.188302849
42	0.1857205228
43	0.1833926781
44	0.1794071226
45	0.1770454131
46	0.1730575202
47	0.1711872896
48	0.1688842404
49	0.1659973367
50	0.1622479373
51	0.159599714
52	0.1551031199
53	0.151404153
54	0.1491110145
55	0.1465499964
56	0.1446024714
57	0.1431079886
58	0.1401343567
59	0.1376471267
60	0.1361433503
61	0.1332307815
62	0.1307535091
63	0.128943893
64	0.1270824979
65	0.1253834426
66	0.1242392763
67	0.1224073984
68	0.120119823
69	0.1186840193
70	0.1170873811
71	0.115135574
72	0.113566929
73	0.1122639197
74	0.1118221721
75	0.1104207754
76	0.1085186903
77	0.1067447341
78	0.1047544153
79	0.103726429
80	0.1023373085
81	0.1005675972
82	0.09846803593
83	0.0974601048
84	0.09579754155
85	0.09418126892
86	0.09255778763
87	0.09096602069
88	0.08952768315
89	0.08847122682
90	0.08728738948
91	0.08629153823
92	0.08532552203
93	0.08384902816
94	0.08281704012
95	0.08179658033
96	0.08079438994
97	0.07898485797
98	0.07794293114
99	0.07676716264
100	0.07590278758
101	0.07394796984
102	0.07318625035
103	0.07219987507
104	0.07167483049
105	0.07007713581
106	0.06935582128
107	0.06878406535
108	0.06830905596
109	0.06687428535
110	0.06662531085
111	0.06614537882
112	0.06508554722
113	0.06413096109
114	0.06308594418
115	0.06250794261
116	0.06174883171
117	0.06010877331
118	0.05947177015
119	0.05890950422
120	0.0581631417
121	0.05725381303
122	0.05665141797
123	0.05599384536
124	0.05519695679
125	0.0540538236
126	0.0535882294
127	0.05275245055
128	0.05234015461
129	0.05135434499
130	0.05061345208
131	0.04972516035
132	0.04907453928
133	0.04848068054
134	0.04743183957
135	0.04639758422
136	0.04556351169
137	0.04475814758
138	0.04423070946
139	0.04371276602
140	0.0429582365
141	0.04224492067
142	0.04162449929
143	0.04112898123
144	0.04040989193
145	0.03987431018
146	0.03931767748
147	0.03881071298
148	0.0385661352
149	0.03816683307
150	0.03756790443
151	0.03692528441
152	0.03663978277
153	0.03611854821
154	0.0359345685
155	0.03513782486
156	0.03479150309
157	0.03434990737
158	0.03386870845
159	0.03343866902
160	0.03308992801
161	0.03266987645
162	0.03227966696
163	0.03189795873
164	0.0317118052
165	0.03126871119
166	0.03095050646
167	0.03064163045
168	0.03035793331
169	0.03016369459
170	0.02988225542
171	0.0295286876
172	0.02922057359
173	0.02894071219
174	0.0285099949
175	0.02826022801
176	0.02816300931
177	0.02801745239
178	0.02766701207
179	0.02709863841
180	0.02672193697
181	0.02637126056
182	0.02610416858
183	0.02590428728
184	0.02551709075
185	0.02540107671
186	0.02513468128
187	0.02479874943
188	0.02448510271
189	0.02429318739
190	0.02398347224
191	0.0237693653
192	0.02353225095
193	0.02320634203
194	0.02298825677
195	0.02280511854
196	0.02265404761
197	0.02249847244
198	0.02217335357
199	0.02200500898
200	0.02169013043
201	0.02133193214
202	0.02125850154
203	0.02105312259
204	0.02086926209
205	0.02074684581
206	0.02058422794
207	0.02044614147
208	0.02022624236
209	0.02014376587
210	0.01980845578
211	0.01960596941
212	0.01956203025
213	0.0195048016
214	0.01944349996
215	0.01935223238
216	0.01927581102
217	0.01922872451
218	0.0191333594
219	0.01894220843
220	0.01887146471
221	0.01883832335
222	0.01880731374
223	0.01856657052
224	0.01853403105
225	0.01850915721
226	0.01847851691
227	0.01829000724
228	0.01823685158
229	0.01806351656
230	0.0180144514
231	0.01791114484
232	0.01785144085
233	0.01773224555
234	0.01761269263
235	0.0174621114
236	0.0173960075
237	0.01727344513
238	0.01715741706
239	0.01706573341
240	0.01694873297
241	0.01685333864
242	0.01674463844
243	0.01652875504
244	0.01637458351
245	0.0163075119
246	0.01618742371
247	0.01608825675
248	0.01595178897
249	0.01585720806
250	0.01571146182
251	0.01567705006
252	0.0155261673
253	0.01541105083
254	0.01526633306
255	0.01515404022
256	0.01510727511
257	0.01499244031
258	0.01489334815
259	0.01483305161
260	0.01473390101
261	0.01455085861
262	0.01441214689
263	0.01432800381
264	0.01429992066
265	0.01426485326
266	0.01423510235
267	0.01420034115
268	0.01411217885
269	0.01407914852
270	0.01398620265
271	0.01391457304
272	0.01385949834
273	0.01376133882
274	0.01373819585
275	0.01371813128
276	0.01365583623
277	0.01355895996
278	0.01349020073
279	0.0133985837
280	0.01330795189
281	0.01326633966
282	0.01316198476
283	0.01309707178
284	0.01301627124
285	0.01290609963
286	0.01284210877
287	0.01279342111
288	0.01277743888
289	0.01273507049
290	0.01263714471
291	0.01256357737
292	0.01253924815
293	0.01249656303
294	0.01246971639
295	0.01238537697
296	0.01229807251
297	0.01222230798
298	0.01220213939
299	0.01213481886
